Time:                    RO:
0.0                        7.046202882018385E12
0.0                        7.070965979633839E12
0.0                        7.105371665044115E12
0.0                        7.146930255424732E12
0.0                        7.182411332258191E12
0.0                        7.203024352270158E12
0.0                        4.289525031873077E10
0.001                        5.470755012278751E10
0.002                        1.6845294097490775E11
0.003                        2.0936068821363348E11
0.004                        4.44381423699945E11
0.005                        7.40731121278876E11
0.006                        1.161876592625526E12
0.007                        1.732671188481534E12
0.008                        2.340202225651851E12
0.009000000000000001                        2.4093853326142896E12
0.01                        2.4848286246003784E12
0.011                        3.344029269305092E12
0.012                        3.958505805923947E12
0.013000000000000001                        4.95929088724589E12
0.014                        5.937766733612199E12
0.0                        5.9708435624090625E12
0.001                        6.077714845872933E12
0.002                        6.145922191497524E12
0.0                        6.151358197822994E12
0.001                        6.179559855557514E12
0.002                        6.334178613268145E12
0.0                        6.34090674626764E12
0.001                        6.394749301365744E12
0.002                        6.546061786269688E12
0.0                        6.586047830181688E12
0.001                        6.590802259013917E12
0.002                        6.642706592529203E12
0.0                        6.643807556969378E12
0.001                        6.793619426800694E12
0.002                        7.0402362900288955E12
0.0                        7.04340966706879E12
0.0                        7.047226491808755E12
0.0                        7.118172047642396E12
0.0                        7.145026217382815E12
0.0                        7.086050154929948E12
0.0                        5.631200931993695E10
0.001                        1.0118001673429283E11
0.002                        1.1160207611165749E11
0.003                        3.779595349304943E11
0.004                        6.242644490463561E11
0.005                        6.39825343036119E11
0.006                        7.771981891437755E11
0.007                        1.0517379460906893E12
0.008                        1.7579058960976567E12
0.009000000000000001                        2.571124985946348E12
0.01                        2.9554079494316714E12
0.011                        3.537069172037651E12
0.012                        4.10205781045686E12
0.013000000000000001                        4.455910844389551E12
0.014                        5.088597915711828E12
0.015                        5.679243555248875E12
0.016                        5.811277872303597E12
0.0                        5.878778676676669E12
0.001                        5.94040639660238E12
0.002                        6.131992265900489E12
0.003                        6.416430237277771E12
0.004                        6.772979396544775E12
0.005                        6.97720361129407E12
0.006                        7.11523279010973E12
0.007                        7.55624741086285E12
0.008                        7.784804657681734E12
0.009000000000000001                        7.996478029011986E12
0.01                        8.51290224365204E12
0.011                        9.172719475936451E12
0.012                        9.770194656663164E12
0.013000000000000001                        1.0179271293749123E13
0.014                        1.092814179837569E13
0.015                        1.1143854589104135E13
0.016                        1.1779566841188115E13
0.0                        5.160976085358456E9
0.001                        1.371182521637546E11
0.002                        2.975212726874424E11
0.003                        5.194491275499984E11
0.004                        6.007753578473738E11
0.005                        6.927790107834568E11
0.006                        8.709371949950078E11
0.007                        1.0535636866004989E12
0.008                        1.2450929595185205E12
